age,gender,ID_age,CB,ID,ID_SubjectLog,iPad_Used,Short_SubID,ID_Database
6.71,F,6,1,iPad1_THU6F30,IPAD1_THU6F30,IPAD1,THU6F30,NA
7.15,M,7,1,iPad1_THU7F33,IPAD1_THU7F33,IPAD1,THU7F33,NA
5.65,F,5,1,iPad2_THU5F02,IPAD2_THU5F02,IPAD2,THU5F02,NA
5.96,F,5,2,iPad2_THU5F02,IPAD2_THU5F02,IPAD2,THU5F02,NA
4.1,M,5,1,iPad2_THU5M04,IPAD2_THU5M04,IPAD2,THU5M04,NA
6.83,F,6,2,iPad2_THU6M32,IPAD2_THU6M32,IPAD2,THU6M32,NA
7.04,F,6,1,iPad2_THU6M33,IPAD2_THU6M33,IPAD2,THU6M33,NA
8.35,M,8,1,iPad2_THU8M21,IPAD2_THU8M21,IPAD2,THU8M21,NA
4.38,F,4,1,iPad3_THU4M6,IPAD3_THU4M6,IPAD3,THU4M6,NA
7.46,F,6,2,iPad3_THU7F13,IPAD3_THU7F13,IPAD3,THU7F13,NA
7.28,M,7,1,iPad3_THU7M12,IPAD3_THU7M12,IPAD3,THU7M12,NA
8.46,M,8,2,iPad3_THU8F17,IPAD3_THU8F17,IPAD3,THU8F17,NA
4.14,F,4,1,iPad5_THU4F6,IPAD5_THU4F6,IPAD5,THU4F6,NA
5.64,M,5,1,iPad5_THU5M1,IPAD5_THU5M1,IPAD5,THU5M1,NA
5.05,M,5,2,iPad5_THU5M4,IPAD5_THU5M4,IPAD5,THU5M4,NA
