value,iPad_Used,SubID
IPA2_THU9F41,IPA2,THU9F41
IPAD_THU5F6,IPAD,THU5F6
IPAD_THU6F13,IPAD,THU6F13
IPAD_THU7M12,IPAD,THU7M12
IPAD_THU8M21,IPAD,THU8M21
IPAD1_1THU6F30,IPAD1,1THU6F30
IPAD1_THU10F40,IPAD1,THU10F40
IPAD1_THU11F23,IPAD1,THU11F23
IPAD1_THU11F24,IPAD1,THU11F24
IPAD1_THU11F25,IPAD1,THU11F25
IPAD1_THU11F27,IPAD1,THU11F27
IPAD1_THU12F22,IPAD1,THU12F22
IPAD1_THU13F26,IPAD1,THU13F26
IPAD1_THU5M1,IPAD1,THU5M1
IPAD1_THU5M4,IPAD1,THU5M4
IPAD1_THU8F33,IPAD1,THU8F33
IPAD1_THU8M22,IPAD1,THU8M22
IPAD1_THU9F49,IPAD1,THU9F49
IPAD1_THU9F50,IPAD1,THU9F50
IPAD1_THU9M47,IPAD1,THU9M47
IPAD2_THU11F25,IPAD2,THU11F25
IPAD2_THU11F26,IPAD2,THU11F26
IPAD2_THU11F29,IPAD2,THU11F29
IPAD2_THU12F27,IPAD2,THU12F27
IPAD2_THU12M28,IPAD2,THU12M28
IPAD2_THU25F1,IPAD2,THU25F1
IPAD2_THU4M03,IPAD2,THU4M03
IPAD2_THU5F03,IPAD2,THU5F03
IPAD2_THU5F04,IPAD2,THU5F04
IPAD2_THU5F18,IPAD2,THU5F18
IPAD2_THU6F32,IPAD2,THU6F32
IPAD2_THU6F33,IPAD2,THU6F33
IPAD2_THU6M30,IPAD2,THU6M30
IPAD2_THU6M31,IPAD2,THU6M31
IPAD2_THU8F12,IPAD2,THU8F12
IPAD2_THU8F14,IPAD2,THU8F14
IPAD2_THU9F38,IPAD2,THU9F38
IPAD2_THU9M23,IPAD2,THU9M23
IPAD2_THU9M37,IPAD2,THU9M37
IPAD2_THU9M39,IPAD2,THU9M39
IPAD3_THU4F6,IPAD3,THU4F6
IPAD3_THU8M14,IPAD3,THU8M14
IPAD3_THU8M17,IPAD3,THU8M17
IPAD3_THU8M17,IPAD3,THU8M17
IPAD3_THU9F18,IPAD3,THU9F18
IPAD3_THU9F23,IPAD3,THU9F23
IPAD3_THU9M2,IPAD3,THU9M2
IPAD3_THU9M22,IPAD3,THU9M22
IPAD4_THU8F11,IPAD4,THU8F11
IPAD4_THU8F13,IPAD4,THU8F13
IPAD4_THU9F45,IPAD4,THU9F45
IPAD4_THU9M2,IPAD4,THU9M2
IPAD5_THU6M1,IPAD5,THU6M1
IPAD5_THU6M4,IPAD5,THU6M4
IPAD5_THU9M40,IPAD5,THU9M40
IPAD5_THU9M46,IPAD5,THU9M46
